icao	city	country	state	name	type	longitude	latitude	elevation
PAPC	Port Clarence	NULL	NULL	Port Clarence Coast Guard Station	medium_airport	-166.8589935	65.2537003	10
PAPG	Petersburg	United States	Alaska	Petersburg James A Johnson Airport	medium_airport	-132.9450073	56.8017006	111
PAPH	Port Heiden	United States	Alaska	Port Heiden Airport	medium_airport	-158.6302190	56.9578930	95
PAPK	Napaskiak	NULL	NULL	Napaskiak Airport	small_airport	-161.7780000	60.7029000	24
PAPM	Platinum	United States	Alaska	Platinum Airport	medium_airport	-161.8279270	59.0176750	15
PAQT	Nuiqsut	United States	Alaska	Nuiqsut Airport	medium_airport	-151.0059980	70.2099990	38
PARC	Arctic Village	NULL	NULL	Arctic Village Airport	medium_airport	-145.5789950	68.1147000	2092
PARY	Ruby	United States	Alaska	Ruby Airport	medium_airport	-155.4700010	64.7272030	658
PASA	Savoonga	United States	Alaska	Savoonga Airport	medium_airport	-170.4929960	63.6864010	53
PASC	Deadhorse	United States	Alaska	Deadhorse Airport	medium_airport	-148.4649963	70.1947022	65
PASD	Sand Point	United States	Alaska	Sand Point Airport	medium_airport	-160.5220990	55.3139080	21
PASH	Shishmaref	United States	Alaska	Shishmaref Airport	small_airport	-166.0891120	66.2496040	12
PASI	Sitka	United States	Alaska	Sitka Rocky Gutierrez Airport	medium_airport	-135.3619995	57.0471001	21
PASK	Selawik	United States	Alaska	Selawik Airport	small_airport	-159.9859920	66.6000980	17
PASM	St Mary's	United States	Alaska	St Mary's Airport	small_airport	-163.3020020	62.0605010	312
PASN	St Paul Island	United States	Alaska	St Paul Island Airport	medium_airport	-170.2225550	57.1663110	63
PASV	Sparrevohn	NULL	NULL	Sparrevohn LRRS Airport	medium_airport	-155.5740051	61.0974007	1585
PASX	Soldotna	United States	Alaska	Soldotna Airport	medium_airport	-151.0384710	60.4749350	113
PASY	Shemya	NULL	NULL	Eareckson Air Station	medium_airport	174.1139984	52.7122994	95
PATG	Togiak Village	United States	Alaska	Togiak Airport	small_airport	-160.3970030	59.0527990	21
PATK	Talkeetna	United States	Alaska	Talkeetna Airport	medium_airport	-150.0939941	62.3204994	358
PATL	Takotna	United States	Alaska	Tatalina LRRS Airport	medium_airport	-155.9770050	62.8944016	964
PATQ	Atqasuk	United States	Alaska	Atqasuk Edward Burnell Sr Memorial Airport	medium_airport	-157.4360130	70.4670400	96
PAUN	Unalakleet	United States	Alaska	Unalakleet Airport	medium_airport	-160.7989960	63.8884010	27
PAVD	Valdez	United States	Alaska	Valdez Pioneer Field	medium_airport	-146.2465670	61.1327120	121
PAVL	Kivalina	United States	Alaska	Kivalina Airport	small_airport	-164.5599170	67.7345650	13
PAWD	Seward	United States	Alaska	Seward Airport	medium_airport	-149.4186120	60.1304780	22
PAWG	Wrangell	United States	Alaska	Wrangell Airport	medium_airport	-132.3699951	56.4842987	49
PAWI	Wainwright	United States	Alaska	Wainwright Airport	medium_airport	-159.9949950	70.6380000	41
PAWN	Noatak	United States	Alaska	Noatak Airport	small_airport	-162.9804610	67.5612410	88
PAWS	Wasilla	United States	Alaska	Wasilla Airport	medium_airport	-149.5399930	61.5717010	354
PAWT	Wainwright	United States	Alaska	Wainwright Air Station	small_airport	-159.8600010	70.6134030	35
PE-0035	Collique Bajo	NULL	NULL	Collique Airport	closed	-77.0610960	-11.9287000	410
PFYU	Fort Yukon	United States	Alaska	Fort Yukon Airport	medium_airport	-145.2499870	66.5716510	433
PGRO	Rota Island	Northern Mariana Islands	(unassigned)	Rota International Airport	medium_airport	145.2429960	14.1743000	607
PGSN	I Fadang, Saipan	Northern Mariana Islands	(unassigned)	Saipan International Airport	medium_airport	145.7290040	15.1190000	215
PGUA	Yigo	Guam	(unassigned)	Andersen Air Force Base	medium_airport	144.9299980	13.5840000	627
PGUM	Hagåtña	United States	Guam	Antonio B. Won Pat International Airport	large_airport	144.7960050	13.4834000	298
PGWT	Tinian Island	Northern Mariana Islands	(unassigned)	Tinian International Airport	medium_airport	145.6192300	14.9981010	271
PH-0005	Tuy	NULL	NULL	Tuy Airstrip	small_airport	120.7356260	14.0149630	236
PH-0096	Santa Cruz	NULL	NULL	Hermana Mayor Island Airstrip	small_airport	119.7932050	15.7819810	NULL
PH-0107	Magalang	NULL	NULL	Woodland Airpark	small_airport	120.6777720	15.2543260	NULL
PH-0416	Masinloc	NULL	NULL	AES Masinloc Heliport	heliport	119.9236500	15.5749300	71
PH-0681	Legazpi City	NULL	NULL	Legazpi City International Airport	closed	123.7350000	13.1575000	66
PH-0682	Bacolod City	NULL	NULL	Bacolod City Domestic Airport	closed	122.9296000	10.6424400	26
PH-0683	Tagbilaran City	NULL	NULL	Tagbilaran Airport	closed	123.8535330	9.6654420	38
PH-0687	Magalang	NULL	NULL	Woodland Airpark	small_airport	120.6777720	15.2543260	100
PHBK	Kekaha	United States	Hawaii	Barking Sands Airport	medium_airport	-159.7850040	22.0228000	23
PHDH	Mokuleia	United States	Hawaii	Kawaihapai Airfield	small_airport	-158.1970060	21.5795000	14
PHHI	Wahiawa	United States	Hawaii	Wheeler Army Airfield	small_airport	-158.0370480	21.4816370	837
PHHN	Hana	NULL	NULL	Hana Airport	medium_airport	-156.0140080	20.7956010	78
PHJH	Lahaina	NULL	NULL	Kapalua Airport	medium_airport	-156.6730040	20.9629000	256
PHJR	Kapolei	United States	Hawaii	Kalaeloa Airport	medium_airport	-158.0700090	21.3074000	30
PHKO	Kailua-Kona	United States	Hawaii	Ellison Onizuka Kona International Airport at Keahole	medium_airport	-156.0456030	19.7387830	47
PHLI	Lihue	United States	Hawaii	Lihue Airport	medium_airport	-159.3390050	21.9760000	153
PHMK	Kaunakakai	United States	Hawaii	Molokai Airport	medium_airport	-157.0959930	21.1529010	454
PHMU	Waimea (Kamuela)	United States	Hawaii	Waimea Kohala Airport	medium_airport	-155.6679990	20.0013010	2671
PHNG	Kaneohe	United States	Hawaii	Kaneohe Bay MCAS (Marion E. Carl Field) Airport	medium_airport	-157.7680050	21.4505000	24
PHNL	Honolulu, Oahu	NULL	NULL	Daniel K Inouye International Airport	large_airport	-157.9242280	21.3206200	13
PHNY	Lanai City	United States	Hawaii	Lanai Airport	medium_airport	-156.9513240	20.7856750	1308
PHOG	Kahului	United States	Hawaii	Kahului International Airport	large_airport	-156.4318370	20.8962630	54
PHSF	Waimea (Kamuela)	United States	Hawaii	Bradshaw Army Airfield	small_airport	-155.5540010	19.7600990	6190
PHTO	Hilo	United States	Hawaii	Hilo International Airport	medium_airport	-155.0480040	19.7213990	38
PHUP	Hawi	United States	Hawaii	Upolu Airport	small_airport	-155.8600010	20.2653010	96
PKMA	Eniwetok Atoll	Marshall Islands	Eniwetok	Eniwetok Airport	small_airport	162.3280029	11.3407001	13
PKMJ	Majuro Atoll	Marshall Islands	Majuro	Marshall Islands International Airport	medium_airport	171.2720030	7.0647600	6
